,$,'(',')',';','addop','assign','else','float','id','if','int','mulop','num','relop','while','{','}',
ASSIGNMENT,sync,Error,Error,Error,Error,Error,Error,sync,'id' 'assign' EXPRESSION ';',sync,sync,Error,Error,Error,sync,Error,sync,
DECLARATION,sync,Error,Error,Error,Error,Error,Error,PRIMITIVE_TYPE 'id' ';',sync,sync,PRIMITIVE_TYPE 'id' ';',Error,Error,Error,sync,Error,sync,
EXPRESSION,Error,SIMPLE_EXPRESSION EXPRESSION`,sync,sync,SIMPLE_EXPRESSION EXPRESSION`,Error,Error,Error,SIMPLE_EXPRESSION EXPRESSION`,Error,Error,Error,SIMPLE_EXPRESSION EXPRESSION`,Error,Error,Error,Error,
EXPRESSION`,Error,Error,,,Error,Error,Error,Error,Error,Error,Error,Error,Error,'relop' SIMPLE_EXPRESSION,Error,Error,Error,
FACTOR,Error,'(' EXPRESSION ')',sync,sync,sync,Error,Error,Error,'id',Error,Error,sync,'num',sync,Error,Error,Error,
IF,sync,Error,Error,Error,Error,Error,Error,sync,sync,'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}',sync,Error,Error,Error,sync,Error,sync,
METHOD_BODY,sync,Error,Error,Error,Error,Error,Error,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,Error,Error,Error,STATEMENT_LIST,Error,Error,
PRIMITIVE_TYPE,Error,Error,Error,Error,Error,Error,Error,'float',sync,Error,'int',Error,Error,Error,Error,Error,Error,
SIGN,Error,sync,Error,Error,'addop',Error,Error,Error,sync,Error,Error,Error,sync,Error,Error,Error,Error,
SIMPLE_EXPRESSION,Error,TERM SIMPLE_EXPRESSION`,sync,sync,SIGN TERM SIMPLE_EXPRESSION`,Error,Error,Error,TERM SIMPLE_EXPRESSION`,Error,Error,Error,TERM SIMPLE_EXPRESSION`,sync,Error,Error,Error,
SIMPLE_EXPRESSION`,Error,Error,,,'addop' TERM SIMPLE_EXPRESSION`,Error,Error,Error,Error,Error,Error,Error,Error,,Error,Error,Error,
STATEMENT,sync,Error,Error,Error,Error,Error,Error,DECLARATION,ASSIGNMENT,IF,DECLARATION,Error,Error,Error,WHILE,Error,sync,
STATEMENT_LIST,sync,Error,Error,Error,Error,Error,Error,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,Error,Error,Error,STATEMENT STATEMENT_LIST`,Error,Error,
STATEMENT_LIST`,,Error,Error,Error,Error,Error,Error,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,Error,Error,Error,STATEMENT STATEMENT_LIST`,Error,Error,
TERM,Error,FACTOR TERM`,sync,sync,sync,Error,Error,Error,FACTOR TERM`,Error,Error,Error,FACTOR TERM`,sync,Error,Error,Error,
TERM`,Error,Error,,,,Error,Error,Error,Error,Error,Error,'mulop' FACTOR TERM`,Error,,Error,Error,Error,
WHILE,sync,Error,Error,Error,Error,Error,Error,sync,sync,sync,sync,Error,Error,Error,'while' '(' EXPRESSION ')' '{' STATEMENT '}',Error,sync,
